Fon Kodu,Risk Değeri,Fon Getiri (%),Fon Volatilite (%),Ölçüt Getiri (%),Ölçüt Volatilite (%),Negatif Gün Sayısı,Negatif Gün Oranı (%),Sharpe,Düzeltilmiş Sharpe,Beta,Alpha,Treynor,Sortino,RMD% (1 hafta),Downside Risk,Değişim Katsayısı
HEP,2,59.2854,2.0376,56.9223,1.5764,3,1.21,23.3420,174.4252,1.1446,-0.0203,41.5519,82.5041,0.6677,0.1478,0.0428
HER,3,24.3282,11.3630,21.1100,8.4240,102,41.13,2.0129,0.6672,1.2045,-0.0044,18.9888,2.4267,3.7235,8.0854,0.4968
HES,6,3.6525,25.7119,5.4490,24.1655,130,52.42,0.2719,0.2519,1.0384,-0.0067,6.7319,0.3529,8.4254,19.0173,3.6781
HET,5,15.7908,14.6193,18.7203,9.3385,118,47.58,1.0968,0.5931,1.4967,-0.0430,10.7127,1.3503,4.7905,10.4337,0.9118
HHB,6,0.9769,23.0473,0.5486,21.1045,117,47.18,0.1590,0.1533,1.0645,0.0027,3.4428,0.1983,7.5523,17.5241,6.2889
HHE,6,7.3442,25.7169,61.9969,1.9835,108,43.55,0.4116,0.3181,-0.1055,0.0626,0.0000,0.4678,8.4271,19.6907,2.4293
HHG,5,27.9886,4.4797,33.1576,4.2957,75,30.24,5.6450,-38.4152,0.9672,-0.0122,26.1464,11.0528,1.4679,1.7025,0.1771
HHM,6,16.9237,18.6423,45.3444,1.3727,104,41.94,0.9497,0.6476,0.3178,0.0221,55.7108,1.0999,6.1088,14.0333,1.0529
HHN,5,21.4176,17.3472,41.1164,1.3973,106,42.74,1.2289,0.8106,0.5678,0.0053,37.5469,1.4497,5.6844,12.8699,0.8137
HHY,7,21.9345,18.0102,31.2517,12.7366,111,44.76,1.2138,1.1429,0.7786,-0.0015,28.0766,1.6218,5.9017,12.4713,0.8239
HKV,1,52.9826,2.1876,52.7772,1.5925,7,2.82,19.8565,-85.5554,0.4264,0.0991,0.0000,10.9444,0.7168,0.7971,0.0504
HLL,1,59.0852,1.9566,58.4259,1.5175,1,0.40,24.2417,199.4556,1.2148,-0.0383,39.0439,,0.6411,0.0456,0.0413
HOA,6,43.0315,20.4519,,,95,38.31,1.8884,1.6913,,,,2.4628,6.7018,13.7138,0.5295
HOY,6,31.9093,9.6006,,6.0950,99,39.92,2.9924,1.7635,,,,4.0482,3.1460,5.9109,0.3342
HPD,5,20.6917,10.5559,36.1841,8.4180,119,47.98,1.8711,1.1130,0.9152,-0.0374,21.5811,2.5345,3.4590,7.1498,0.5344
HPF,7,-0.0892,35.1346,53.5454,8.4723,112,45.16,0.1736,0.1730,0.1173,0.0037,51.9999,0.2402,11.5131,25.7357,5.7589
HPO,2,45.2474,3.3697,53.5454,1.7595,46,18.55,11.3268,-1.8879,1.2049,-0.0580,31.6775,13.5813,1.1042,1.4940,0.0883
HPT,1,51.8464,2.2664,52.6229,1.5895,13,5.24,18.8306,40.7932,0.4114,0.0989,0.0000,18.8698,0.7427,0.6299,0.0531
HPV,1,51.2943,1.7217,38.2012,1.6520,0,0.00,24.5649,181.1377,-0.0932,0.1801,0.0000,,0.5642,0.0000,0.0407
HS1,3,33.9197,6.1861,32.0736,5.5309,80,32.26,4.8507,-7.0402,1.0069,0.0050,29.7999,5.0614,2.0271,3.9790,0.2062
HSA,5,15.1404,13.1535,27.2562,12.6909,116,46.77,1.1597,0.6759,0.9234,-0.0326,16.5194,1.4757,4.3102,9.4507,0.8623
HSL,1,58.6978,1.9333,59.6091,1.5895,0,0.00,24.4048,206.0287,1.1798,-0.0364,39.9890,,0.6335,0.0000,0.0410
HST,3,29.2677,6.8692,32.7841,5.5323,80,32.26,3.8491,-1.3066,1.1611,-0.0291,22.7723,4.2524,2.2510,4.4514,0.2598
HVS,6,3.1853,24.9673,0.1651,26.8633,130,52.42,0.2541,0.2324,0.8995,0.0116,7.0527,0.3284,8.1814,18.5884,3.9355
IAF,5,57.9926,13.2160,22.9966,4.6020,51,20.56,3.5996,3.8339,-0.1148,0.1984,0.0000,4.0942,4.3307,7.1386,0.2778
IAR,7,36.7071,50.7868,24.1098,13.9539,62,25.00,0.8751,-1.2547,-0.6547,0.2362,-67.8818,0.7902,16.6422,31.1096,1.1427
IAS,6,-10.5088,34.7133,53.5454,8.4723,131,52.82,-0.1535,-0.1514,0.0929,-0.0374,-57.3947,-0.2442,11.3751,23.9128,-6.5131
IBC,,30.4921,6.0945,53.5454,8.4723,75,30.24,4.4882,-6.9737,0.0361,0.1022,0.0000,4.6292,1.9971,4.0205,0.2228
IBE,7,61.4274,35.2510,53.5454,8.4723,58,23.39,1.5652,0.5536,0.0182,0.2158,0.0000,1.3334,11.5513,24.5727,0.6389
IBK,2,58.3736,1.9110,52.5300,1.6089,0,0.00,24.5794,210.1975,0.0553,0.1769,0.0000,,0.6262,0.0000,0.0407
IBR,5,43.3740,4.2385,22.9966,4.6020,11,4.44,8.6998,24.7930,0.2420,0.1259,0.0000,9.6140,1.3889,1.1466,0.1149
ICA,6,73.9206,18.0161,74.8523,20.9419,103,41.53,3.2270,4.4894,0.7957,0.0436,73.0640,5.4192,5.9037,10.4650,0.3099
ICC,4,31.2752,10.6214,33.0095,10.1557,106,42.74,2.6685,0.5417,1.0033,-0.0055,28.2496,3.3717,3.4805,7.2387,0.3747
ICD,2,43.6677,3.6358,53.5454,1.7595,49,19.76,10.1930,-9.2209,0.9205,-0.0129,40.2594,11.0349,1.1914,1.9458,0.0981
ICE,1,58.3869,1.9214,59.6091,1.5895,0,0.00,24.4507,206.9331,1.1584,-0.0331,40.5547,,0.6296,0.0000,0.0409
ICF,6,3.7152,23.3077,3.6765,22.8384,123,49.60,0.2771,0.2544,1.0020,0.0005,6.4450,0.3518,7.6376,17.4424,3.6090
ICS,6,22.5696,5.1970,22.9966,4.6020,80,32.26,4.0223,-23.6173,1.0233,-0.0033,20.4281,7.4695,1.7030,2.0670,0.2486
IDD,4,10.4724,17.8044,50.7014,1.6860,69,27.82,0.6596,0.5691,0.2616,0.0031,44.8907,0.6836,5.8343,12.3068,1.5162
IDF,6,34.4867,3.8935,31.0210,4.5566,59,23.79,7.7880,-42.1597,0.6909,0.0444,43.8907,16.4669,1.2758,1.2645,0.1284
IDY,6,55.3488,14.5002,53.5454,1.7595,90,36.29,3.1743,1.4254,1.0150,0.0062,45.3470,3.9970,4.7515,9.2111,0.3150
IEA,5,33.6531,4.2012,35.0161,4.3915,75,30.24,7.0694,0.2497,0.8750,0.0111,33.9426,10.0793,1.3767,2.1293,0.1415
IEB,4,34.9494,8.7050,31.7261,6.3280,93,37.50,3.5584,2.4382,0.8587,0.0264,36.0714,4.7310,2.8525,5.5699,0.2810
IEE,4,17.1923,19.7420,61.9969,1.9835,117,47.18,0.9190,0.7797,0.3195,0.0095,56.7768,1.1590,6.4692,14.2102,1.0882
IEF,5,10.7927,22.7371,61.9969,1.9835,121,48.79,0.5741,0.5109,0.1873,0.0152,69.6794,0.7297,7.4506,16.6418,1.7419
IEG,3,25.5642,9.5144,32.0736,5.5309,102,41.13,2.4897,-0.3366,1.5423,-0.0807,15.3589,2.7896,3.1177,6.3985,0.4017
IEH,6,-0.1167,25.7276,3.6765,22.8384,125,50.40,0.1249,0.1210,1.0867,-0.0144,2.9577,0.1625,8.4306,19.1526,8.0048
IEK,4,19.6010,13.6210,19.1222,12.5852,111,44.76,1.4095,0.3969,1.0691,-0.0029,17.9580,1.6691,4.4634,9.8901,0.7095
IER,1,59.2122,2.0552,56.2684,1.5473,4,1.61,23.1188,165.5192,1.0444,-0.0004,45.4935,76.1514,0.6735,0.1292,0.0433
IGE,5,14.3564,13.9876,13.8887,11.6323,124,50.00,1.0488,0.6092,1.1736,-0.0067,12.4998,1.3430,4.5836,9.8838,0.9535
IGL,1,58.5392,1.9265,56.5031,1.4351,1,0.40,24.4373,205.2195,1.1382,-0.0198,41.3615,,0.6313,0.0311,0.0409
IIP,6,25.4768,15.7519,53.5454,8.4723,58,23.39,1.5498,-0.4951,0.0253,0.0924,0.0000,1.2270,5.1617,11.1804,0.6453
IIS,7,47.1491,34.6541,61.2129,8.4464,60,24.19,1.3139,0.0058,0.0103,0.1787,0.0000,1.0825,11.3557,24.6787,0.7611
IMH,,-15.6437,33.3404,55.5570,1.8124,63,25.40,-0.3513,-0.4230,-0.4057,0.0262,28.8715,-0.2889,10.9252,25.7093,-2.8465
IMO,,-21.2766,43.6990,55.5570,8.3962,121,48.79,-0.3303,-0.4203,0.0640,-0.0688,0.0000,-0.3463,14.3196,35.2423,-3.0271
IMS,,26.7152,5.2164,53.5454,8.4723,83,33.47,4.6591,-1.6696,0.0137,0.0940,0.0000,5.3355,1.7093,3.3811,0.2146
IPF,6,33.1004,13.3320,42.5865,4.2697,94,37.90,2.2559,1.6966,0.7350,0.0134,40.9193,2.7044,4.3687,9.1247,0.4433
IPG,5,21.6404,12.8675,55.5570,8.3962,110,44.35,1.6182,1.2274,0.0170,0.0796,0.0000,2.0758,4.2165,9.0095,0.6180
IPP,6,48.3460,5.1751,42.5865,4.2697,73,29.44,7.8069,15.1328,-0.0689,0.1703,0.0000,13.4478,1.6958,2.2915,0.1281
ISR,,28.7030,4.3394,,,64,25.81,5.9573,-27.6274,,,,8.2687,1.4220,1.9730,0.1679
IYR,5,-11.1297,37.2404,55.5570,8.3962,73,29.44,-0.1348,-0.1432,-0.0508,-0.0108,98.8309,-0.1261,12.2032,27.5115,-7.4158
IYS,3,30.2401,10.1874,37.5051,6.4353,88,35.48,2.6983,0.9227,0.7824,0.0075,35.1332,3.1110,3.3383,7.0552,0.3706
KIS,6,29.7620,4.9272,28.2918,5.5531,71,28.63,5.4217,-23.8606,0.5901,0.0461,45.2680,12.4296,1.6146,1.4692,0.1844
KOA,4,29.9289,7.5148,55.8457,8.4639,99,39.92,3.5940,-2.2645,0.0190,0.1037,0.0000,4.2399,2.4625,4.9804,0.2782
KOE,3,31.0924,8.1600,29.0566,5.9819,100,40.32,3.4276,-4.6521,1.2651,-0.0206,22.1090,3.7897,2.6739,5.5980,0.2917
KOP,7,41.5549,115.6271,26.0680,4.6190,72,29.03,0.6818,-2.1706,1.5667,0.1652,50.3217,1.2291,37.8895,35.0351,1.4667
KOS,3,29.5113,5.7292,43.2304,1.3837,86,34.68,4.6361,0.3279,0.7243,-0.0001,36.6713,5.5410,1.8774,3.6193,0.2157
KRC,2,53.3994,2.1109,47.0964,3.3954,8,3.23,20.7087,-24.1453,0.3090,0.1251,0.0000,14.6168,0.6917,0.7341,0.0483
KRF,5,36.4116,6.0674,53.5454,8.4723,52,20.97,5.2551,-85.1601,-0.0060,0.1276,0.0000,3.4331,1.9882,4.6638,0.1903
KRT,6,29.5693,4.4179,28.9738,4.8058,66,26.61,6.0070,-81.2468,0.8402,0.0183,31.5866,15.0249,1.4477,1.2798,0.1665
KSV,1,52.2097,1.7330,42.5257,1.3879,0,0.00,24.7610,201.9015,1.2378,-0.0075,34.6659,,0.5679,0.0000,0.0404
KSY,1,56.6078,3.5990,61.9969,1.9835,31,12.50,12.7456,15.8682,0.8454,0.0167,54.2627,16.7390,1.1793,1.3847,0.0785
KTE,7,27.1031,8.4634,,,60,24.19,2.9344,-14.7981,,,,2.5082,2.7734,5.1172,0.3408
KTM,3,40.8561,6.4227,26.5167,7.2011,81,32.66,5.4774,0.6317,0.8198,0.0607,42.9150,7.3062,2.1046,3.8063,0.1826
KTN,1,34.0525,3.5227,30.2303,2.7188,13,5.24,8.5103,-174.9219,0.0200,0.1168,0.0000,3.4081,1.1543,2.6782,0.1175
KTR,1,54.2356,1.7474,34.0490,1.9886,0,0.00,25.3302,210.8920,-0.0619,0.1830,0.0000,,0.5726,0.0000,0.0395
KTS,4,13.4855,20.2113,33.7013,7.8358,115,46.37,0.7410,0.3844,1.9274,-0.1697,7.7699,0.8602,6.6230,15.3250,1.3496
KTT,3,29.9516,4.3540,22.2765,4.5993,60,24.19,6.1638,-73.7881,0.8865,0.0339,30.2725,12.0429,1.4267,1.4158,0.1622
KTU,6,19.9537,20.7434,12.4592,23.6829,114,45.97,0.9993,0.7343,0.8500,0.0323,24.3873,1.2887,6.7973,14.9293,1.0007
KTV,1,50.1762,1.6886,32.6684,2.4248,0,0.00,24.5980,198.5346,-0.1197,0.1785,0.0000,,0.5533,0.0000,0.0407
KTZ,4,32.8912,7.2441,43.2304,1.3837,82,33.06,4.0431,-0.8469,1.1223,-0.0472,26.0974,5.3353,2.3738,4.0035,0.2473
KUB,6,30.5501,7.2415,23.0508,4.6095,83,33.47,3.7942,-12.2368,-0.0145,0.1103,0.0000,3.7087,2.3730,5.1830,0.2636
KYA,6,-9.0248,23.9073,0.1651,26.8633,124,50.00,-0.2833,-0.3021,0.8609,-0.0399,-7.8671,-0.3773,7.8341,17.8896,-3.5298
KZL,6,76.4941,21.1043,71.9466,19.8433,104,41.94,2.8544,3.5007,1.0225,0.0065,58.9154,4.4843,6.9156,12.6658,0.3503
MAC,7,7.6293,23.2101,-4.4722,27.0380,116,46.77,0.4395,0.4175,0.7221,0.0433,14.1278,0.5871,7.6056,16.9053,2.2751
MAD,6,28.7814,13.7578,14.1717,17.8692,103,41.53,1.9451,2.1758,0.5092,0.0756,52.5548,2.7404,4.5083,8.7212,0.5141
MBL,2,56.6376,1.7755,40.1621,6.3539,1,0.40,25.8200,231.0006,-0.0050,0.1826,0.0000,,0.5818,0.0757,0.0387
MEA,6,80.9002,16.9400,73.4292,19.9438,102,41.13,3.6583,5.6042,0.6650,0.0923,93.1976,6.7509,5.5510,9.2706,0.2733
MHA,4,23.8601,10.7304,21.1100,8.4240,104,41.94,2.0892,0.3081,1.1713,-0.0035,19.1391,2.4705,3.5162,7.7144,0.4787
MHB,2,58.4229,2.2827,51.1312,5.1241,4,1.61,20.5947,44.0031,0.1069,0.1686,0.0000,12.5737,0.7480,0.5766,0.0486
MHC,1,53.1534,1.7438,34.8418,1.4180,0,0.00,24.9697,217.7699,0.5193,0.1099,83.8433,,0.5714,0.0000,0.0400
MHD,6,27.7987,4.4679,32.8080,4.3325,68,27.42,5.6258,-59.5494,0.9640,-0.0114,26.0738,13.1000,1.4641,1.3382,0.1778
MHE,4,23.9250,15.9136,56.6114,1.7418,105,42.34,1.4550,1.4676,0.7740,-0.0489,29.9163,1.9604,5.2147,10.6352,0.6873
MHG,3,40.5320,5.5281,32.0736,5.5309,57,22.98,6.3116,-12.5216,0.8645,0.0405,40.3590,5.9737,1.8115,3.3498,0.1584
MHH,6,1.7193,26.1299,3.6765,22.8384,120,48.39,0.1986,0.1842,1.1273,-0.0076,4.6033,0.2449,8.5624,19.7094,5.0354
MHI,3,28.0229,5.5635,43.2304,1.3837,81,32.66,4.5603,-0.6012,0.2473,0.0647,0.0000,5.3397,1.8231,3.6397,0.2193
MHK,4,23.1237,9.1300,28.6385,5.9234,105,42.34,2.3712,-0.7802,1.3229,-0.0500,16.3647,2.7841,2.9918,6.3625,0.4217
MHL,2,61.7088,2.1901,55.2494,1.3234,3,1.21,22.4226,143.7212,1.1973,-0.0186,41.0152,26.0106,0.7177,0.2693,0.0446
MHM,2,48.4878,3.6677,55.0789,8.4667,40,16.13,11.0240,-25.6981,0.0453,0.1523,0.0000,10.2388,1.2019,1.8903,0.0907
MHN,4,23.7344,13.5526,55.8457,8.4639,107,43.15,1.6719,0.6347,0.0070,0.0886,0.0000,1.9795,4.4410,9.7749,0.5981
MHO,5,19.7629,16.3045,56.6125,8.4613,113,45.56,1.2110,0.3830,-0.0277,0.0834,0.0000,1.4115,5.3428,11.9734,0.8258
MHR,6,9.1418,24.3077,58.1460,8.4561,121,48.79,0.4898,0.4050,-0.0359,0.0540,0.0000,0.6097,7.9653,18.0312,2.0418
MHS,3,29.1803,6.6730,26.4841,4.9802,93,37.50,3.9500,-2.2136,0.9804,0.0108,26.8846,4.4551,2.1867,4.5342,0.2532
MHT,5,19.0959,13.6038,13.8887,11.6323,118,47.58,1.3794,0.4112,1.1209,0.0124,16.7412,1.6607,4.4578,9.8183,0.7250
MHU,5,26.8333,14.4503,43.9351,1.3797,106,42.74,1.7515,0.9150,-0.2473,0.1369,0.0000,2.1722,4.7352,10.3478,0.5709
MHV,6,22.6579,17.4357,45.3444,1.3727,109,43.95,1.2831,0.6720,-0.3885,0.1477,-57.5833,1.5781,5.7135,12.6981,0.7793
MHY,4,21.4565,13.1252,55.8449,1.7459,110,44.35,1.5774,0.6791,0.1472,0.0557,0.0000,1.9116,4.3010,9.4474,0.6340
MHZ,4,23.7042,8.2497,55.8457,8.4639,102,41.13,2.6731,-1.1799,0.0168,0.0845,0.0000,3.1351,2.7033,5.6754,0.3741
MPD,6,25.6600,11.8091,22.2765,4.5993,40,16.13,2.0326,-4.2858,0.7269,0.0357,33.0204,1.3870,3.8697,7.1761,0.4920
MPN,6,31.8277,4.8116,22.9966,4.6020,66,26.61,5.8863,-20.5940,0.7804,0.0466,36.2936,7.0067,1.5767,2.4694,0.1699
MPP,7,23.2585,13.6966,53.3569,8.4894,48,19.35,1.6246,-0.4442,-0.0011,0.0885,0.0000,2.4309,4.4882,6.3608,0.6155
NHA,6,77.0407,18.7377,73.6501,20.9408,100,40.32,3.2066,4.6371,0.6968,0.0765,86.2276,5.4311,6.1401,10.7138,0.3119
NHM,2,47.0139,4.0833,61.9969,1.9835,60,24.19,9.6563,-0.6202,0.9942,-0.0380,39.6601,12.3125,1.3380,1.9026,0.1036
NHN,6,58.1796,12.2546,56.0885,14.9548,82,33.06,3.8822,2.8941,0.2711,0.1387,0.0000,5.1831,4.0157,7.5901,0.2576
OBP,4,27.3403,9.1007,24.5247,7.5654,101,40.73,2.7562,0.3400,0.7200,0.0348,34.8378,3.3113,2.9822,5.9968,0.3628
ODS,6,30.7016,5.3137,22.9966,4.6020,71,28.63,5.1696,-55.5571,1.0214,0.0230,26.8937,11.2204,1.7412,1.7466,0.1934
OGF,3,58.1298,1.8717,57.0765,1.8144,0,0.00,25.0104,211.1827,-0.0886,0.2020,0.0000,,0.6133,0.0000,0.0400
OHB,6,7.7528,25.4588,3.6765,22.8384,122,49.19,0.4273,0.3851,1.0958,0.0157,9.9281,0.5576,8.3425,18.6190,2.3401
OKD,6,19.8845,16.4529,24.1717,12.7309,110,44.35,1.2075,0.8567,1.2470,-0.0345,15.9314,1.5066,5.3914,11.8497,0.8282
OKP,2,57.0713,2.0387,51.4840,1.7728,3,1.21,22.6269,152.6316,0.1018,0.1659,0.0000,57.9109,0.6681,0.2194,0.0442
OKT,3,57.6127,1.8716,47.0964,3.3954,0,0.00,24.8335,209.2244,0.0478,0.1769,0.0000,,0.6133,0.0000,0.0403
OPB,4,23.7029,9.3073,53.5454,8.4723,110,44.35,2.3791,2.0843,0.0359,0.0816,0.0000,3.3738,3.0499,6.1439,0.4203
OPD,7,57.2614,2.0624,55.0789,8.4667,3,1.21,22.4270,129.3512,0.0559,0.1735,0.0000,21.2717,0.6758,0.2968,0.0446
OPH,7,-1.5368,25.1404,-1.6657,25.3838,120,48.39,0.0640,0.0628,0.9222,0.0008,1.7445,0.0786,8.2382,19.1750,15.6278
OPI,6,-3.5882,23.4923,-1.6657,25.3838,116,46.77,-0.0403,-0.0408,0.8582,-0.0090,-1.1041,-0.0507,7.6981,17.9106,-24.7947
OSD,2,60.0721,1.9844,61.3312,2.1424,1,0.40,24.2199,184.2945,0.0450,0.1820,0.0000,,0.6503,0.1976,0.0413
OSF,6,56.6553,34.7343,58.1460,8.4561,35,14.11,1.5126,-7.5409,-0.0098,0.2103,0.0000,0.6963,11.3820,29.9876,0.6611
OSH,7,-3.4463,24.5928,-2.8465,25.4626,61,24.80,-0.0225,-0.0227,0.4846,-0.0028,-1.1399,-0.0187,8.0587,18.7545,-44.5235
OSL,1,54.8830,2.0134,62.8795,2.3558,4,1.61,22.1986,134.8199,0.1328,0.1511,0.0000,30.9721,0.6598,0.3163,0.0450
OTF,2,49.6864,1.6699,36.9280,1.7718,0,0.00,24.6725,194.2414,-0.0855,0.1744,0.0000,,0.5472,0.0000,0.0405
OTK,2,39.4906,10.1744,40.9867,1.3993,64,25.81,3.3903,3.0659,0.8641,0.0166,39.9189,3.9436,3.3340,6.3834,0.2950
OYL,1,58.1358,1.9351,57.9308,1.6108,2,0.81,24.1945,194.9416,1.0997,-0.0179,42.5730,0.0000,0.6341,0.0845,0.0413
OYT,6,57.3774,1.7216,53.5454,8.4723,1,0.40,26.9070,218.7740,0.0466,0.1757,0.0000,,0.5641,0.0069,0.0372
PLS,7,29.8189,6.5416,24.2252,4.6086,40,16.13,4.1048,1.7641,0.3520,0.0755,76.2747,4.0940,2.1436,3.4200,0.2436
PPD,7,6.2223,24.1839,-1.6657,25.3838,117,47.18,0.3769,0.3180,0.9044,0.0307,10.0780,0.4548,7.9247,18.3475,2.6533
PPF,2,43.5088,7.0283,55.0789,8.4667,73,29.44,5.2825,-9.7148,0.0549,0.1375,0.0000,5.5121,2.3031,4.4322,0.1893
PRC,2,55.4841,1.8128,35.7226,1.3144,0,0.00,24.8720,206.5136,0.7504,0.0860,60.0872,,0.5940,0.0000,0.0402
PRS,2,57.5872,2.0030,52.5786,5.1482,2,0.81,23.1972,155.5389,0.1091,0.1656,0.0000,20.4325,0.6564,0.2210,0.0431
PUC,2,59.7621,2.1995,53.5454,8.4723,2,0.81,21.7636,48.3938,0.0588,0.1797,0.0000,8.5912,0.7208,0.5509,0.0459
PUD,6,27.5526,5.6661,21.4114,4.7476,69,30.13,4.7778,-9.5027,0.8146,0.0377,33.2326,5.5107,1.8567,3.2113,0.2093
PUR,1,59.9439,1.9287,53.5454,8.4723,0,0.00,24.8775,216.0309,0.0585,0.1801,0.0000,,0.6320,0.0000,0.0402
PUT,6,60.0814,4.0957,53.5454,8.4723,52,20.97,11.7520,33.6444,0.1125,0.1713,0.0000,22.8230,1.3421,1.3385,0.0851
RBA,6,82.2765,16.7087,71.9466,19.8433,93,37.50,3.7533,4.6980,0.7295,0.0829,85.9617,5.8273,5.4752,9.7402,0.2664
RBH,5,16.8499,21.7361,8.8130,21.7445,109,43.95,0.8406,0.6200,0.9691,0.0302,18.8535,1.0353,7.1226,16.2078,1.1896
RBK,4,35.8971,3.5892,28.6835,4.2111,38,15.32,8.7420,-179.7753,0.6278,0.0602,49.9795,19.1994,1.1761,0.8349,0.1144
RBT,1,50.8805,1.7181,30.9418,2.8245,0,0.00,24.4544,176.3470,-0.1415,0.1822,0.0000,,0.5630,0.0000,0.0409
RBV,1,50.2127,1.7404,36.9280,1.7718,2,0.81,23.8804,162.5682,-0.1113,0.1791,0.0000,19.7733,0.5703,0.2131,0.0419
SBS,,29.9575,4.6242,22.9966,4.6020,65,26.21,5.8073,-41.3586,0.8963,0.0310,29.9594,8.9005,1.5153,1.9076,0.1722
SKT,1,52.9610,2.0276,53.0224,1.6213,5,2.02,21.4140,103.8456,0.1725,0.1425,0.0000,21.8810,0.6644,0.3924,0.0467
SLF,1,58.9227,1.9556,56.6314,1.3465,0,0.00,24.1997,200.3824,1.0264,0.0011,46.1080,,0.6408,0.0000,0.0413
SPA,5,30.9190,4.5439,22.9966,4.6020,25,10.08,6.0747,-22.2622,0.6509,0.0547,42.4077,12.7775,1.4890,0.8498,0.1646
SPD,5,30.9578,5.1381,22.9966,4.6020,29,11.69,5.3836,-16.2760,0.7270,0.0485,38.0504,8.7316,1.6837,1.3388,0.1857
SPE,5,32.8487,4.2989,22.9966,4.6020,52,20.97,6.7663,-8.3152,0.5681,0.0676,51.2001,7.3977,1.4087,2.0622,0.1478
SPN,2,52.5198,3.5185,57.6084,1.7354,47,18.95,12.2680,30.6014,-0.4081,0.2466,0.0000,23.5917,1.1530,1.1810,0.0815
SRO,7,-17.5686,39.1917,55.0789,8.4667,81,32.66,-0.3047,-0.3477,0.1986,-0.0830,-60.1418,-0.3060,12.8426,28.2728,-3.2818
SSO,4,64.1790,2.4414,53.5454,8.4723,6,2.42,20.7514,-429.7896,0.0527,0.1918,0.0000,7.5646,0.8000,1.1373,0.0482
ST1,7,-7.7511,34.2832,0.9786,24.1109,117,47.18,-0.0657,-0.0673,1.2996,-0.0292,-1.7328,-0.0774,11.2342,26.7375,-15.2236
STS,,30.2803,4.4976,22.9966,4.6020,61,24.60,6.0257,-56.1589,0.8995,0.0318,30.1289,10.0528,1.4738,1.6818,0.1660
STZ,,21.3315,21.9603,2.3680,22.9353,116,46.77,1.0090,0.7236,0.9220,0.0695,24.0342,1.3013,7.1961,15.8618,0.9910
SUA,3,47.4320,3.1855,53.5454,1.7595,38,15.32,12.4587,-42.7727,0.7267,0.0312,54.6122,11.8190,1.0438,1.5402,0.0803
SUB,6,6.5162,21.6594,53.5454,1.7595,126,50.81,0.4059,0.3882,-0.3169,0.0900,-27.7424,0.5428,7.0975,15.7994,2.4634
SUC,6,30.0926,14.5308,53.5454,1.7595,104,41.94,1.9204,1.3215,-0.3050,0.1638,-91.4906,2.3882,4.7615,9.6595,0.5207
TAO,3,45.8747,9.4169,53.5454,1.7595,98,39.52,4.1407,4.8193,0.4841,0.0706,80.5434,6.4434,3.0858,5.4991,0.2415
TBT,3,14.1039,12.9200,28.5440,8.6950,107,43.15,1.1067,0.5815,1.3563,-0.0832,10.5431,1.2617,4.2337,9.1367,0.9035
TCA,6,83.9739,17.7351,71.9466,19.8433,94,37.90,3.5995,3.3439,0.6891,0.0966,92.6332,5.1367,5.8116,10.6602,0.2778
TCC,6,23.4945,11.4969,28.1619,5.5224,103,41.53,1.9306,1.8480,0.6195,0.0255,35.8319,2.6573,3.7674,7.4665,0.5180
TCI,2,64.7731,81.1251,56.2775,8.9122,7,2.82,0.9829,-3.7105,0.0340,0.3102,0.0000,0.3269,26.5837,41.0450,1.0174
TCS,6,0.5359,25.9097,23.4378,13.5685,121,48.79,0.1519,0.1437,1.6751,-0.1334,2.3492,0.1898,8.4903,19.6615,6.5840
TDP,6,27.3371,4.6611,29.8098,6.1785,76,30.65,5.3152,-73.6921,0.4697,0.0483,52.7421,15.2000,1.5274,1.2405,0.1881
TE3,2,45.1819,5.8059,53.5454,1.7595,38,15.32,6.5854,-54.9536,0.8314,0.0072,45.9883,4.1722,1.9025,3.9884,0.1519
TFF,6,37.9808,24.9384,29.8661,34.1573,98,39.52,1.4418,1.1698,0.1332,0.1256,0.0000,1.8258,8.1720,16.7506,0.6936
TGA,5,23.8636,14.2874,62.0024,1.9838,113,45.56,1.6004,1.0735,-0.4026,0.1695,-56.7960,2.0621,4.6818,9.9847,0.6249
TGT,2,53.8454,1.8882,53.4170,1.5031,3,1.21,23.3054,163.5907,0.2603,0.1295,0.0000,75.2733,0.6187,0.2098,0.0429
TI1,2,58.3269,1.9280,59.6139,1.6172,1,0.40,24.3472,201.8830,1.1471,-0.0311,40.9231,,0.6318,0.0033,0.0411
TIP,6,7.8721,3.2430,7.7227,3.1839,39,33.33,5.0937,8.1289,0.9537,0.0042,17.3214,8.2517,1.0627,1.6373,0.1963
TIV,1,51.4336,1.9002,52.5300,1.6089,4,1.61,22.3093,114.8943,0.1744,0.1384,0.0000,19.3869,0.6227,0.3541,0.0448
TKM,1,58.5432,1.9422,56.5031,1.4351,1,0.40,24.2408,200.0752,1.1600,-0.0238,40.5868,,0.6364,0.0484,0.0413
TLZ,6,-9.1456,23.5546,-1.6657,25.3838,117,47.18,-0.2962,-0.3330,0.8603,-0.0329,-8.1101,-0.3493,7.7186,18.5800,-3.3759
TNI,4,58.1199,5.2153,53.5454,8.4723,48,19.35,8.9975,4.3949,0.0356,0.1800,0.0000,10.4424,1.7090,2.5676,0.1111
TNK,1,52.0053,2.0337,49.5955,2.0617,7,2.82,21.0352,29.8859,0.2483,0.1292,0.0000,14.8407,0.6664,0.5719,0.0475
